Age,Salary,Experience,Education_Level,Job_Satisfaction,Department,Work_Life_Balance,Annual_Bonus,Commute_Time,Work_Hours_Per_Week,Promotions_Last_5_Years,Training_Hours_Last_Year,Overtime_Hours_Per_Week,Performance_Score
26,43103.53,9,Bachelor,2,HR,2,1883.04,112,52,4,85,0,23.46
43,58150.86,35,PhD,2,Operations,1,6558.66,29,50,2,96,0,47.84
19,50047.22,34,Master,3,Finance,4,4342.81,63,40,2,47,1,35.34
37,68449.86,16,High School,5,Finance,2,7643.7,90,22,1,11,9,37.03
45,64740.25,18,High School,2,HR,1,3011.99,36,29,0,28,19,23.76
64,28998.94,18,Master,1,Finance,5,4728.82,21,30,2,32,8,53.53
24,58808.94,38,Associate,3,Marketing,4,5221.3,94,41,0,32,7,36.05
61,46915.58,43,PhD,4,Engineering,5,2690.37,84,36,0,21,2,51.07
25,51242.49,32,Master,3,Marketing,3,5978.75,14,44,1,69,11,42.52
64,39077.42,7,Bachelor,2,Operations,1,2703.34,21,47,1,94,10,32.05
52,76222.06,23,Bachelor,2,Engineering,3,5857.6,6,39,4,83,0,47.32
31,65600.93,23,Master,5,Engineering,3,7966.4,70,49,4,79,15,44.43
34,38903.43,46,PhD,3,Finance,3,6186.8,33,50,2,32,5,48.1
53,29980.84,18,High School,2,Engineering,1,4112.48,114,32,4,10,9,41.05
67,44214.91,7,High School,1,HR,4,7331.86,8,29,1,33,12,38.63
57,56517.54,42,Associate,1,Marketing,5,9646.16,34,52,4,54,12,65.01
21,53603.09,40,PhD,3,Engineering,4,5498.18,65,39,4,91,1,54.01
19,68796.99,24,Bachelor,5,Finance,4,3688.08,62,33,4,62,10,36.37
23,61848.8,14,Bachelor,3,Finance,4,5153.76,80,27,0,5,5,30.45
59,64543.54,5,Associate,5,Finance,5,2566.32,38,27,4,43,7,21.17
21,54902.83,46,Bachelor,1,Sales,5,7266.82,82,57,1,0,13,37.26
46,29160.52,22,Associate,2,Marketing,1,5614.22,28,47,0,36,13,38.67
35,47064.52,22,Associate,4,Finance,2,3945.86,92,29,4,85,0,37.37
43,65901.35,10,Master,2,HR,5,6042.41,86,59,4,96,13,46.45
61,49227.16,26,High School,1,Finance,5,4007.44,29,33,1,17,2,19.54
51,57546.36,15,PhD,1,Sales,2,4611.17,93,33,2,92,10,38.02
27,45218.78,38,PhD,2,Marketing,5,5003.68,109,25,1,1,13,49.26
53,34552.82,41,High School,2,Engineering,4,8614.64,29,53,3,64,12,80.7
31,48149.84,42,PhD,1,Marketing,5,2746.31,96,36,1,69,12,59.81
48,54635.71,49,Bachelor,2,Engineering,1,6553.3,34,40,2,26,15,50.39
65,40164.68,1,Bachelor,4,Engineering,5,3592.68,59,58,1,14,7,38.5
32,46464.33,14,PhD,4,Finance,2,8528.7,93,47,0,77,1,41.62
25,35908.05,36,Master,3,Operations,4,3166.57,28,57,0,95,14,57.39
31,66788.67,31,PhD,4,HR,2,3212.92,108,34,1,10,1,50.93
40,45583.16,28,Associate,1,HR,5,6535.47,43,55,0,4,8,54.38
57,71791.33,34,Associate,1,Operations,5,5002.86,81,55,2,82,2,44.25
38,72931.22,35,High School,3,Finance,1,6633.52,6,28,3,90,17,26.88
33,48784.31,39,Bachelor,5,Sales,4,7441.67,38,54,3,64,11,66.89
62,34873.27,23,Master,3,Engineering,5,5381.98,20,37,2,40,2,44.25
35,18711.53,46,PhD,5,Operations,1,7039.35,52,36,4,96,14,39.71
64,27919.44,44,Associate,5,HR,1,1111.53,28,37,4,94,5,45.88
41,29392.48,19,Bachelor,2,Marketing,2,5731.43,54,23,3,28,3,26.27
43,70677.04,18,Bachelor,4,Sales,4,4609.62,6,39,0,64,17,54.54
42,51737.37,15,Master,5,Finance,3,8016.07,97,32,0,26,11,31.87
62,55844.07,1,Master,2,Sales,1,653.76,43,30,4,60,4,39.13
58,16693.68,25,Master,3,HR,3,3539.44,107,52,3,40,7,55.2
46,32030.5,26,Master,3,Operations,2,2370.56,85,47,1,70,13,46.02
32,63306.2,35,Associate,5,Finance,1,5429.7,63,27,1,59,8,19.36
62,54301.61,15,Master,2,HR,4,5506.06,27,39,0,63,0,50.87
18,47791.92,4,Bachelor,1,Engineering,3,5075.35,16,37,2,94,15,15.27
42,58472.64,15,Bachelor,4,Sales,4,6605.48,81,26,4,28,17,15.04
24,74536.97,42,PhD,5,Operations,3,7208.03,73,52,0,66,15,32.03
26,46684.36,38,Bachelor,1,Engineering,2,5727.81,19,30,2,42,11,45.19
41,51040.55,45,Bachelor,4,Marketing,1,2335.33,64,49,2,1,11,63.56
18,52888.95,39,Associate,1,Engineering,1,3888.78,68,54,4,49,13,24.05
61,85881.64,1,Bachelor,2,Sales,2,6369.64,6,39,2,8,7,29.88
25,18509.66,22,High School,5,Marketing,5,5503.74,74,56,2,60,4,45.64
41,60248.35,11,Bachelor,1,HR,3,3713.23,68,29,4,93,5,31.45
28,48277.97,46,PhD,1,Operations,3,7071.77,40,49,3,77,12,46.56
68,58501.58,38,PhD,1,Marketing,5,6181.5,91,37,1,47,19,54.06
34,40139.41,37,Master,5,Sales,2,7044.07,17,44,3,83,19,57.17
25,49265.52,26,Associate,2,Finance,4,5760.88,6,51,1,13,13,45.87
52,60671.16,27,PhD,2,Marketing,4,3573.57,9,58,1,85,16,59.67
52,96693.65,13,High School,1,HR,2,7911.26,44,53,4,26,9,39.23
50,62120.54,7,High School,2,Marketing,4,6365.27,84,58,3,78,12,29.48
22,37279.02,8,Master,4,Operations,2,6068.44,68,50,4,25,10,34.23
59,43643.6,46,Associate,2,Engineering,3,6807.84,43,47,3,14,0,68.1
56,43198.79,23,Associate,1,Finance,3,4479.01,39,45,2,94,6,39.92
58,23065.35,26,Bachelor,4,Sales,5,6144.56,61,23,0,10,4,43.03
45,45048.65,44,High School,5,Finance,2,4785.96,45,39,3,13,4,52.17
24,60992.44,27,High School,3,Engineering,4,3526.53,49,27,3,3,0,15.57
26,30886.52,9,High School,2,Finance,2,2313.01,38,21,2,98,1,19.62
25,65727.24,46,High School,4,Engineering,1,967.51,23,46,2,58,13,51.54
29,57316.62,38,PhD,3,Operations,5,5768.63,111,53,1,95,18,45.35
51,38986.5,47,Associate,5,Marketing,1,3520.21,94,55,0,35,17,72.92
50,47877.06,13,Bachelor,3,Sales,5,3996.87,46,40,0,49,13,25.94
65,73974.83,7,PhD,5,Engineering,5,3460.35,111,27,0,31,6,56.81
40,61003.22,11,Associate,1,Engineering,5,1954.38,21,42,3,77,5,34.66
41,50131.75,10,Master,1,Marketing,1,7134.24,117,27,3,97,15,26.78
54,46434.75,33,High School,5,Engineering,5,9056.16,39,24,4,58,0,52.55
52,51149.14,39,Bachelor,3,Sales,2,1406.46,80,59,1,66,12,44.64
61,42323.55,3,Associate,2,HR,2,5774.61,39,20,2,36,2,51.17
57,18428.76,41,Master,3,Finance,1,2631.82,105,40,2,48,12,47.78
39,80632.67,29,High School,3,Operations,3,6617.94,10,29,2,22,2,47.37
44,52329.87,37,Master,2,Operations,3,7824.86,56,21,4,35,14,40.92
52,55972.21,45,Master,3,Engineering,1,6556.82,78,40,4,85,17,44.92
18,49131.38,16,PhD,3,Finance,5,3159.19,47,32,3,49,0,37.49
52,38973.25,16,Master,4,Operations,5,3593.08,27,47,4,0,2,48.89
54,47211.13,44,PhD,5,Finance,5,4128.93,87,49,4,99,19,89.8
64,26009.08,43,PhD,1,Operations,1,6387.42,47,37,2,49,5,60.07
31,84156.3,49,Master,5,HR,5,4558.37,57,21,4,13,9,37.26
20,31482.32,7,Associate,3,Engineering,2,6382.73,76,38,1,57,14,6.95
18,34520.51,15,Master,2,Sales,5,5024.93,77,40,4,80,19,22.26
22,43396.11,38,Master,2,Engineering,1,4867.23,71,45,0,14,7,46.96
43,69321.14,6,Associate,1,Finance,5,5243.74,101,44,4,58,16,30.16
31,50217.63,18,High School,1,Marketing,2,4925.04,70,38,3,90,3,41.43
56,31457.96,19,Bachelor,1,HR,1,1884.24,38,44,1,80,1,48.02
44,68815.08,2,High School,2,Sales,3,3097.56,39,39,4,1,11,17.83
26,60965.01,3,Master,3,Sales,1,8299.02,86,25,3,88,5,16.21
32,58076.52,46,High School,1,Finance,4,5952.8,31,37,1,71,9,39.04
32,60736.01,25,Bachelor,1,Sales,3,8604.52,117,37,4,62,2,40.85
43,85915.43,36,High School,2,Finance,3,3227.41,112,39,1,9,7,51.31
59,82776.42,49,Bachelor,3,Sales,1,4991.26,31,58,0,27,12,60.29
30,39699.27,28,High School,1,Sales,4,4605.29,106,53,2,57,13,28.1
68,74358.27,38,PhD,3,Operations,3,2910.48,68,29,4,35,3,80.22
49,55747.52,28,Master,4,Operations,5,1637.32,43,52,1,34,3,53.93
56,57486.44,32,Bachelor,1,Finance,4,3020.99,64,38,3,79,2,51.7
66,24615.94,41,Master,1,HR,4,7095.3,85,21,0,80,18,30.56
69,47444.21,36,PhD,2,Sales,1,4044.41,77,22,2,51,2,55.64
49,37807.65,39,High School,4,Engineering,1,4369.4,100,49,3,64,2,65.34
21,62420.88,36,Master,4,Marketing,1,4981.4,27,58,0,85,15,52.08
47,66066.21,43,High School,4,Operations,4,5325.54,112,38,4,67,7,53.04
54,18882.7,23,High School,5,Finance,2,4397.42,82,40,3,59,14,46.16
40,49669.48,2,Master,2,Sales,1,4222.27,15,33,1,26,19,18.12
56,66827.92,10,Bachelor,2,Operations,2,5795.46,8,50,0,20,8,35.53
62,47199.82,6,Bachelor,1,HR,3,8258.74,55,40,0,74,5,35.8
32,60935.95,8,Master,2,Operations,5,3768.64,42,36,4,30,19,39.8
60,55267.48,15,Bachelor,1,Engineering,5,1938.56,55,43,0,67,3,45.87
46,55124.9,45,Associate,1,Finance,2,3745.68,52,56,2,86,9,51.69
53,45930.28,29,High School,5,Engineering,4,4800.56,84,59,1,43,3,48.63
30,31751.29,28,Master,2,Operations,5,1317.34,40,53,4,99,19,23.38
49,33177.05,22,PhD,2,Marketing,2,5198.83,29,39,2,23,1,46.7
24,60640.29,34,Master,5,HR,1,6145.76,9,35,4,10,5,37.5
68,50291.87,20,Master,5,Finance,2,2934.71,78,31,4,36,0,46.07
39,47922.32,33,High School,2,Finance,3,4409.1,73,43,1,11,10,76.21
45,43641.65,15,PhD,2,Sales,2,6354.18,109,32,0,61,2,30.23
19,45422.17,7,High School,1,Engineering,1,4936.4,86,53,4,52,4,32.84
59,65703.68,24,Bachelor,3,Finance,2,5313.66,27,46,3,9,7,42.69
62,44971.34,26,Master,1,Engineering,1,4791.54,106,57,1,53,19,53.33
23,29884.03,10,High School,4,Marketing,1,5181.65,18,40,1,99,15,19.06
45,61154.78,15,Associate,4,Sales,3,8158.24,56,22,3,29,11,19.82
45,46926.85,37,Master,3,Marketing,3,6149.6,91,33,1,14,19,28.15
61,50470.94,24,Bachelor,5,Sales,5,929.23,52,57,4,70,13,43.57
61,74113.67,11,High School,4,Sales,1,5331.23,103,56,2,31,0,49.43
37,49691.59,40,High School,5,Engineering,1,8528.98,61,49,0,39,10,48.67
47,54337.76,21,Associate,5,Operations,1,5097.63,37,29,2,70,9,35.2
28,32316.15,40,Bachelor,1,Sales,5,1386,42,20,1,5,13,32.4
45,46704.96,38,Associate,5,Marketing,4,2957.09,69,58,3,43,14,58.44
42,59142.89,15,Master,3,Operations,3,4802.15,10,47,1,93,14,40.83
56,26669.39,15,PhD,1,Marketing,3,3414.06,25,38,1,61,1,40.51
50,53012.68,37,High School,3,Operations,1,8243.01,31,49,1,78,5,50.54
18,51511.87,45,Associate,5,Marketing,5,2872.77,73,39,0,97,8,52
44,50619.31,14,High School,4,Engineering,1,4907.68,95,39,1,47,5,16.63
69,65557.38,43,High School,5,Engineering,3,4988.6,112,42,1,69,0,52.46
30,55016.58,21,Associate,3,HR,5,8095.63,10,50,1,26,4,32.32
58,72171.08,44,High School,2,Finance,2,4823.05,44,51,3,49,11,66.76
20,35096.16,20,Bachelor,2,HR,3,7275.49,29,45,4,40,15,29.31
56,52038.87,33,Bachelor,4,HR,2,4492.69,119,33,1,41,0,37.87
23,51267,3,PhD,3,Sales,4,4755.49,73,25,1,67,16,21.23
25,33961.18,40,Bachelor,4,Sales,2,4255.33,66,52,1,14,17,57.4
44,64344.43,23,Associate,1,HR,5,1518.39,83,27,0,79,4,43.29
26,84870.1,44,Bachelor,5,Finance,2,7013.59,50,23,3,78,19,49.59
54,49744.91,47,PhD,1,HR,4,6439.42,52,32,2,84,19,54.39
50,57575.32,23,Master,2,Engineering,3,4965.21,42,54,4,52,12,51.71
68,51267.78,27,Master,5,Marketing,4,4065,65,48,1,86,16,51.91
59,39296.23,35,Associate,1,HR,5,2538.35,85,44,2,24,15,49.94
61,22688.6,25,PhD,2,Sales,2,3912.66,21,53,2,59,12,43.16
41,39413.4,32,Bachelor,1,Finance,2,4931.45,52,30,0,8,19,47.73
32,29120.62,22,PhD,5,Sales,5,5631.81,37,57,0,53,2,26.93
49,75561.53,8,High School,1,Engineering,1,5934.72,22,48,2,31,5,25.13
49,48273.35,38,PhD,5,Operations,5,3175.94,40,41,1,62,10,70.27
41,44811.21,18,Bachelor,1,Sales,5,3260.25,58,53,4,68,6,41.84
58,63337.31,28,Associate,4,Operations,4,4854.91,7,30,1,36,13,45.8
69,33173.73,28,High School,1,Sales,4,4317.6,93,47,3,92,11,41.68
66,38497.04,11,PhD,1,Finance,5,6353.48,103,27,3,20,0,41.65
66,51021.08,12,Master,4,Operations,3,2193.84,113,43,3,63,16,57.94
69,65431.53,2,Bachelor,2,Finance,2,6154.22,24,29,1,0,17,48.51
29,57525.28,37,Associate,5,Sales,5,5120.9,104,34,0,70,10,26.83
56,53724.88,4,Bachelor,3,Sales,1,3763.27,111,58,2,69,11,54.59
19,51171.77,41,PhD,2,HR,2,5643.06,35,58,2,82,12,50.4
20,56003.54,45,Associate,5,Engineering,3,6183.56,25,40,1,39,12,20.43
66,53024.79,45,Master,1,Operations,5,1194.23,105,55,1,13,4,49.5
54,34550.42,47,High School,2,HR,3,8897.64,38,55,4,5,11,43.39
66,50691.19,34,PhD,1,Finance,2,4913.67,106,39,3,58,3,59.12
34,33894.67,23,Associate,2,HR,1,5921.87,61,32,1,8,19,33.23
66,51216.24,13,High School,2,HR,2,5867.7,41,21,4,95,9,28.69
19,42790.28,7,Associate,3,Operations,2,5334.77,5,46,4,71,16,27.45
19,88090.72,32,PhD,4,Sales,5,3956.22,61,26,0,85,12,50.96
45,49401.58,23,Associate,2,Sales,2,5184.4,59,45,3,71,14,40.65
40,28936.41,49,Master,1,Operations,5,5007.36,35,49,2,61,18,59.99
54,47987.3,8,Associate,3,Engineering,5,5568.09,27,38,1,33,9,42.5
49,57790.38,47,PhD,2,Marketing,3,8062.03,111,59,0,8,6,50.56
50,75100.46,47,Associate,4,Marketing,1,4390.51,106,40,0,73,11,61.15
18,41158.21,37,High School,1,Operations,5,3164.12,117,45,4,21,12,51.4
36,26263.58,34,High School,3,Operations,4,5089.22,79,29,2,76,14,50.1
19,62252.56,48,Bachelor,5,HR,3,3528.7,107,55,0,41,15,51.54
61,29291.02,29,Bachelor,4,Engineering,5,2776.71,52,46,3,98,6,61.67
43,43457.67,37,Master,5,Engineering,5,3516.52,24,27,0,71,1,48.51
49,46135.69,23,High School,5,Finance,3,2211.38,105,45,4,76,17,45.98
23,48955.5,38,Bachelor,3,Sales,2,2428.46,11,20,0,98,14,43.96
49,60337.47,29,Associate,3,Operations,5,7921.45,103,42,4,92,14,64.24
21,39745.49,44,Master,3,Operations,1,7109.97,6,28,0,73,17,49.73
28,45894.06,5,PhD,5,Operations,5,4934.09,101,50,3,29,10,31.66
34,49785.94,40,Bachelor,1,Operations,3,2833.87,44,26,1,69,0,36.22
55,52243.97,11,Bachelor,3,Finance,4,1245.64,28,28,1,28,4,39.37
41,51467.41,14,High School,4,Marketing,3,4435.36,107,26,0,37,16,32.14
22,56540.09,49,Master,3,Engineering,3,6298.72,78,47,2,4,10,62.13
69,62657.59,42,High School,3,Marketing,1,4758.91,114,53,1,6,8,54.09
51,55889.51,2,High School,3,Sales,2,6883.47,13,35,0,10,7,41.37
23,56803.78,35,Master,5,Sales,1,4141.8,47,29,1,83,19,23.44
39,26266.65,45,Associate,1,Operations,1,4423.52,101,43,4,26,0,50.05
28,50753.42,49,Bachelor,3,Sales,5,6076.69,55,29,0,62,8,51.23
65,57192.61,35,High School,5,Marketing,4,2323.98,89,48,0,78,13,56.18
33,60934.12,42,Bachelor,4,Engineering,3,5402.88,82,44,1,92,13,53.99
50,39614.74,28,Master,1,Finance,1,5306.69,54,49,3,11,3,63.06
26,40114.41,8,Associate,5,Engineering,1,4535.94,91,38,0,58,13,22.53
23,41388.49,32,PhD,2,Engineering,2,7677.38,80,50,0,57,2,29.76
33,58046.21,4,Associate,4,HR,2,6378.05,26,49,3,37,17,21.15
46,65508.22,45,Master,4,Engineering,4,1832.68,96,53,3,32,16,57.81
20,43888.1,7,Associate,2,Finance,3,4237.07,95,47,3,34,8,41.36
37,63619.43,39,PhD,5,HR,1,3606.18,14,38,2,54,16,44.16
53,51852.2,48,High School,5,Engineering,5,4765.73,86,30,2,58,19,74.56
36,48135.71,27,Associate,4,HR,2,3024.19,92,47,3,43,17,31.39
43,46829.24,37,Master,5,Engineering,1,2887.62,71,25,2,47,14,25.31
20,61199.17,17,Associate,2,Sales,5,4664.5,8,36,3,96,4,31.84
36,54883.67,10,PhD,5,Sales,1,5161.06,34,56,4,14,2,34.03
37,84137.38,4,Master,4,Engineering,4,3354.69,89,46,4,99,13,25.17
49,37216.63,23,Associate,5,HR,4,3123.87,26,55,0,54,3,49.61
24,57771.53,14,Master,1,Finance,5,1832.82,96,20,0,94,2,10.48
69,42061.98,5,PhD,2,Sales,2,5637.15,77,35,3,41,17,43.55
58,36960.7,2,High School,2,HR,4,4214.17,112,23,3,24,5,30.06
50,49836.99,46,PhD,3,Finance,2,3806.51,45,42,2,1,5,52.32
57,52060.29,24,High School,5,HR,5,6666.68,109,51,0,81,18,52.71
56,93772.6,18,Bachelor,2,Engineering,5,-110.38,20,22,2,40,8,54.42
35,47237.81,27,PhD,5,Sales,1,6050.45,60,40,1,43,12,39.04
57,33047.32,24,High School,1,Sales,5,7842.7,105,43,3,49,15,41.69
18,54095.16,29,Bachelor,4,Sales,1,816.27,73,34,0,89,14,41.32
28,18880.4,11,Bachelor,4,Engineering,2,1089.19,18,30,0,77,14,20.37
45,48620.65,48,Bachelor,3,Finance,1,2095.84,56,22,2,70,9,52.01
42,50240.38,18,Master,3,Finance,2,2589.6,18,38,4,43,16,46.01
67,61919.01,48,PhD,2,Operations,4,7000.67,51,27,3,89,13,69.8
40,64604.33,4,PhD,2,Operations,2,4461.56,20,53,3,58,0,32.89
48,42446.46,33,PhD,2,Sales,3,9062.43,107,53,3,56,12,39.8
47,47740.79,14,PhD,1,Operations,1,4251.97,47,59,4,39,15,42.83
59,38508.19,44,Master,3,Finance,4,4413.84,72,57,3,59,3,65.27
52,33079.06,42,PhD,3,Operations,2,7652.35,41,45,4,14,2,49.52
24,54648.42,32,High School,4,Operations,5,-112.15,18,22,4,74,9,34.22
33,30896.22,4,Bachelor,3,Sales,1,5218.74,45,51,2,93,19,50.63
43,43780.6,20,Master,3,Finance,2,6088.09,91,29,3,59,13,29.79
65,35072.39,21,Master,1,Sales,4,7230.56,77,29,4,65,11,34.11
69,58245.25,3,PhD,2,Finance,5,6789,28,30,4,38,10,44.48
66,77021.45,25,Bachelor,1,HR,1,5524.46,79,33,2,89,16,33.61
19,30476.18,4,High School,5,Sales,4,7591.35,96,50,3,46,4,28.93
18,22204.72,47,Bachelor,4,Operations,5,7735.52,23,28,1,12,8,35.96
65,48126.7,11,Associate,4,Operations,3,6299.49,87,25,4,95,9,19.47
29,50235.47,16,Bachelor,4,Sales,5,2976.51,16,54,0,20,19,37.97
22,53279.89,36,High School,2,Operations,1,5303.61,51,53,2,13,16,40.02
54,43305.19,6,High School,2,Marketing,3,6642.46,102,37,2,78,12,39.57
49,46990.41,31,High School,2,Sales,2,4444.28,16,42,2,21,3,49.5
26,55512.66,40,Master,4,Finance,3,6397.26,7,49,3,72,19,50.35
58,65606.46,13,Master,4,HR,3,4863.69,34,22,1,71,8,24.41
52,20674.27,23,Associate,4,HR,3,3863.66,62,34,0,73,4,36.04
36,44465.91,4,Bachelor,5,Finance,5,5299.37,115,56,2,15,18,39.01
65,53207.13,37,PhD,5,Engineering,3,2262.4,50,22,4,72,7,39.41
33,36230.36,42,Associate,4,Operations,3,5505.5,55,34,1,93,9,45.12
20,75967.54,37,PhD,2,Sales,2,3568.02,103,22,1,0,3,37.7
37,40468.85,44,PhD,2,HR,3,6156.02,19,48,2,74,3,60.69
41,49380.61,33,Associate,5,Finance,5,2727.64,47,50,0,33,4,44.6
50,58340.33,42,Bachelor,5,HR,4,8830.79,26,26,2,71,3,43.78
41,41130.73,29,PhD,4,HR,4,2953.75,13,26,0,5,4,40.46
69,22301.4,37,Master,4,Finance,5,6713.4,96,30,2,32,16,45.07
28,43570.18,19,Master,2,Marketing,5,4701.03,97,47,2,74,15,23.67
66,65441.61,20,Associate,3,HR,3,6041.51,43,55,2,9,11,56.13
25,44946.57,32,PhD,2,HR,5,6464.93,107,59,3,90,0,45.38
53,37303.49,44,Associate,2,Engineering,3,4600.38,107,44,2,80,1,61.46
55,63885.08,16,Master,4,Marketing,1,4668.85,85,36,1,50,7,34.38
57,45038.38,5,Associate,3,Engineering,2,4623.34,72,57,4,24,10,44.07
37,42347.59,49,PhD,3,Finance,2,1079.22,61,40,4,69,1,34.66
52,52241.84,46,PhD,4,Operations,2,6668.08,72,39,2,81,12,61.58
65,61561.25,12,Master,1,Sales,1,5083.32,11,29,3,42,1,32.33
42,85725.7,45,High School,4,Finance,2,4320,6,25,2,41,13,44.61
52,62408.54,21,High School,5,Marketing,3,4737.3,58,31,2,2,15,38.07
42,67397.6,14,Bachelor,3,Operations,4,4114.71,41,36,0,80,0,31.42
46,42410.51,37,Master,4,Finance,2,919.65,78,52,1,63,13,54.95
35,34611.98,22,Bachelor,2,Marketing,2,4124.15,86,55,0,41,15,44.33
63,50934.97,30,Master,2,Operations,3,4985.2,32,38,4,53,18,52.09
35,51607.55,23,PhD,2,Engineering,3,3376.87,63,24,3,14,4,19.92
19,33822.31,5,Master,4,HR,2,5102.62,50,48,0,15,2,36.32
52,47370.58,29,Associate,1,Finance,5,6696.42,67,56,1,51,6,51.66
33,55989.76,30,Bachelor,5,Finance,1,3809.15,39,49,1,62,13,49.2
58,55405.9,18,Master,2,Operations,4,2121.99,103,20,1,43,17,33.91
53,57564.32,46,Bachelor,4,HR,4,5099.79,119,31,4,45,7,41.74
50,54364.47,1,Master,1,Finance,1,5853.03,98,34,0,99,11,55.01
21,42394.87,39,High School,3,Finance,2,8433.46,89,24,1,19,6,37.36
50,42291.49,17,Bachelor,3,Operations,2,4029.11,62,57,4,58,16,31.42
31,32015.73,3,PhD,5,Sales,2,5068.22,93,30,3,65,10,23.38
38,76771.63,42,PhD,4,Operations,2,7428.12,17,39,2,2,8,45.38
65,50201.76,7,Master,4,Operations,2,3281.07,75,48,3,29,14,41.78
37,46627.2,27,PhD,2,Operations,4,6112.53,10,33,0,43,14,22.34
25,36068.12,28,PhD,1,Sales,2,6046.38,88,45,3,60,3,40.5
24,94034.87,44,Bachelor,5,HR,3,6236.08,49,53,4,72,11,42.97
